side	modId	displayName	version	loader	tier	classes	forgeRefs	neoRefs	mixinConfigs	mixinClasses	hasAT	hasCoremod	nestedJars	sizeKB	file
target	mcwpaths	Macaw's Paths and Pavings	1.1.1	NEOFORGE	TRIVIAL	11	0	6	0	0	false	false	0	759	mcw-mcwpaths-1.1.1-mc1.21.1neoforge.jar
target	mcwroofs	Macaw's Roofs	2.3.2	NEOFORGE	TRIVIAL	23	0	12	0	0	false	false	0	1742	mcw-roofs-2.3.2-mc1.21.1neoforge.jar
target	mcwstairs	Macaw's Stairs and Balconies	1.0.2	NEOFORGE	TRIVIAL	27	0	10	0	0	false	false	0	516	mcw-mcwstairs-1.0.2-mc1.21.1neoforge.jar
target	mcwtrpdoors	Macaw's Trapdoors	1.1.5	NEOFORGE	TRIVIAL	7	0	5	0	0	false	false	0	559	mcw-trapdoors-1.1.5-mc1.21.1neoforge.jar
target	mcwwindows	Macaw's Windows	2.4.2	NEOFORGE	TRIVIAL	39	0	13	0	0	false	false	0	1231	mcw-mcwwindows-2.4.2-mc1.21.1neoforge.jar
target	measurements	Measurements	3.0.3	NEOFORGE	TRIVIAL	28	0	11	0	0	false	false	0	46	Measurements-neoforge-1.21.1-3.0.3.jar
target	megacells	MEGA Cells	4.11.0	NEOFORGE	HARD	86	0	18	1	8	false	false	0	1110	megacells-4.11.0.jar
target	mekanism	Mekanism	10.7.19	NEOFORGE	MODERATE	2975	0	742	0	0	true	false	0	11695	Mekanism-1.21.1-10.7.19.85.jar
target	mekanismcovers	Mekanism Covers	1.3-BETA+1.21	NEOFORGE	HARD	27	0	14	1	12	false	false	0	133	mekanismcovers-1.3-BETA+1.21.jar
target	mekanismgenerators	Mekanism: Generators	10.7.19	NEOFORGE	MODERATE	170	0	37	0	0	false	false	0	1088	MekanismGenerators-1.21.1-10.7.19.85.jar
target	mekanismtools	Mekanism: Tools	10.7.19	NEOFORGE	TRIVIAL	69	0	21	0	0	false	false	0	514	MekanismTools-1.21.1-10.7.19.85.jar
target	mekanisticrouters	Mekanistic Routers	1.2.0	NEOFORGE	HARD	23	0	16	1	1	false	false	0	242	mekanisticrouters-1.2.0.jar
target	mekmm	Mekanism: MoreMachine	1.3.3	NEOFORGE	HARD	483	0	131	1	19	true	false	0	2913	mekmm-1.21.1-1.3.3.jar
target	melody	Melody	1.0.10	NEOFORGE	HARD	22	0	2	2	4	false	false	0	35	melody_neoforge_1.0.10_MC_1.21.jar
target	memorysettings	memorysettings mod	6.0	NEOFORGE	HARD	10	0	3	1	1	true	false	0	21	memorysettings-1.21-6.0.jar
target	merequester	ME Requester	1.21.1-1.4.3	NEOFORGE	HARD	75	0	27	1	4	false	false	0	180	merequester-neoforge-1.21.1-1.4.3.jar
target	merrymaking	Mama's MerryMaking	1.21.1-16	NEOFORGE	TRIVIAL	148	0	62	0	0	false	false	0	21446	merrymaking-1.21.1-16.jar
target	mffs	Modular Force Field System	5.4.44	NEOFORGE	HARD	245	0	112	1	4	true	false	1	3250	mffs-5.4.44.jar
target	mifa	More Industrial Foregoing Addons	2.1.0	NEOFORGE	TRIVIAL	31	0	25	0	0	false	false	0	119	mifa-neoforge-1.21.x-2.1.0.jar
target	minecolonies	MineColonies	1.1.1367-1.21.1-snapshot	NEOFORGE	MODERATE	2503	0	746	0	0	true	false	0	76118	minecolonies-1.1.1367-1.21.1-snapshot.jar
target	mininggadgets	Mining Gadgets	1.18.7	NEOFORGE	TRIVIAL	126	0	78	0	0	false	false	0	648	mininggadgets-1.18.7.jar
target	mob_grinding_utils	Mob Grinding Utils	1.1.10+mc1.21.1	NEOFORGE	HARD	174	0	129	1	1	true	false	0	1337	mob_grinding_utils-1.1.10+mc1.21.1.jar
target	modelfix	Model Gap Fix	1.21-1.10	NEOFORGE	HARD	18	0	7	1	2	true	false	0	45	modelfix-1.21-1.10.jar
